Player;Position;Age;Minutes played;Height;Weight;Tackle succ. %;Interceptions per 90;Goals per 90;Head goals per 90;Shots per 90;Shots on target %;Assists per 90;Crosses per 90;Dribbles per 90;Dribbles succ. %;Touches in box per 90;Passes per 90;Passes acc. %
C. Bakambu;CF;26;3410;182;73;0;2,27;0,71;0,05;2,64;52;0,03;1,16;1,35;64,71;3,8;18,71;77,15
K. Benzema;CF;30;3405;185;81;0;1,33;0,34;0,05;2,75;46,6;0,21;1,44;1,55;53,45;5,36;30,44;81,52
J. Ward;RB, RWB;28;3399;188;83;26,67;5,75;0;0;0,11;50;0,03;2,38;0,6;61,9;0,14;35,55;72,89
B. Bourigeaud;RW, LCMF, RCMF;24;3383;178;71;60;4,2;0,19;0;1,7;25;0,27;2,21;1,04;41,03;0,96;46,58;81,95
I. Bebou;RW, CF, LW;23;3367;183;72;46,67;2,91;0,21;0,05;1,79;35,82;0,16;3,02;3,9;61,64;2,06;25,1;73,06
M. Sabitzer;RW, RAMF, CF;23;3356;177;74;13,33;2,95;0,21;0,08;2,81;40,2;0,14;2,2;0,91;45,45;2,34;37,45;74,25
E. Pieters;LB, LWB;29;3336;182;86;40;6,53;0;0;0,13;0;0,05;2,83;0,59;50;0,54;36,12;76,85
Pedro;AMF, RWF, LWF;30;3328;167;62;22,22;2,08;0,32;0,08;2,6;39,58;0,22;2,27;2,03;73,33;2,95;40,24;81,59
F. Mubele;CF, RW, LW;23;3318;170;67;0;2,2;0,27;0;2,12;41,03;0,05;2,47;3,8;49,29;2,96;19,72;70,84
S. Araújo;CF;25;3315;180;78;25;1,85;0,43;0,11;2,36;41,38;0,19;0,65;2,14;58,23;3,42;26,66;80,24
R. Durmisi;LB, LB5, LWB;24;3313;168;68;36,36;3,88;0,05;0;0,73;25,93;0,11;4,13;1,03;52,63;1,22;33,55;77,25
Pablo Sarabia;RAMF, RW;25;3313;178;70;15,38;4,07;0,19;0,03;1,87;35,29;0,19;4,6;1,62;61,02;2,73;42,92;78,51
P. Zieliński;RCMF3, LCMF3, AMF;23;3312;180;75;31,82;3,01;0,24;0;1,62;32,2;0,22;0,85;1,89;66,67;1,34;55,11;88,47
R. Philippoteaux;LW, LAMF;29;3309;170;67;40,91;2,91;0,24;0;1,27;38,64;0,03;3,08;3,19;59,46;2,36;34,03;75,4
L. Spinazzola;LWB, LB;24;3308;186;75;14,29;4,82;0;0;0,46;5,88;0,24;3,92;2,78;58,82;1,39;45,63;78,29
M. Leckie;RW, RWB, AMF;26;3282;181;82;36,67;3,59;0,22;0,08;1,51;40;0,16;2,85;2,25;64,63;3,26;36,01;77,08
Lucas Lima;LB, LW;26;3281;178;72;25,93;5,47;0,05;0;0,73;38,46;0,03;5,16;1,49;43,4;0,59;36,3;68,53
M. Depay;LAMF, LWF, LW;23;3273;176;78;20;1,62;0,44;0,03;3,11;42,48;0,36;1,73;3,79;50,72;3,16;37,04;79,06
Jonathan Viera;AMF, LCMF, LCMF3;28;3266;171;66;66,67;1,87;0,17;0;1,76;37,5;0,19;1,24;3,39;65,85;1,32;66,05;86,82
S. Verdi;RWF, RW, CF;25;3260;171;61;33,33;1,55;0,22;0;2,51;25,27;0,19;2,76;2,6;56,38;1,99;32,13;75,86
C. Benteke;CF;27;3254;190;83;11,11;1,54;0,28;0,14;2,43;39,29;0,09;0,03;0,84;55,17;3,07;13,53;71,52
A. Ramsey;RCMF, AMF, RDMF;27;3248;183;76;22,86;2,84;0,22;0,03;2,75;34,38;0,2;1,95;1,43;72;3,55;54,07;85,74
X. Shaqiri;RAMF, RW, AMF;26;3245;169;72;40;1,37;0,17;0;2,81;27,72;0,25;3,34;1,39;68;1,5;37,84;80,12
D. Falcinelli;CF;26;3244;185;75;20;1,8;0,31;0,08;2,55;36,96;0,06;0,75;1,3;55,32;2,77;16,26;76,11
R. Krunić;RCMF3, AMF, LCMF3;24;3243;184;74;33,33;4,02;0,11;0,03;1,78;35,94;0,11;0,89;3;76,85;2,16;42,57;83,38
J. Haberer;CF, RCMF, RW;23;3242;186;78;25;4,3;0,14;0,03;1,55;26,79;0,08;0,89;1,44;53,85;1,83;33,9;78,13
Y. Belhanda;AMF, LWF;27;3235;175;74;30;2,84;0,06;0;1,28;19,57;0,19;0,92;1,59;73,68;1,61;48,96;83,24
E. Kachunga;RAMF, RW;25;3227;178;74;20;2,09;0,14;0,08;1,27;37,78;0,03;1,75;1,78;50,79;2,26;23,29;74,73
M. Arnautović;LAMF, CF, LW;28;3226;192;83;30,77;2,37;0,33;0;2,2;39,24;0,2;3,52;2,76;49,49;3,71;29,77;73,2
Iago Falqué;RWF, RAMF, RW;28;3226;174;69;18,75;2,26;0,39;0,03;2,09;38,67;0,2;3,15;1,37;57,14;2,82;42,6;82,19
A. Ljajić;AMF, LWF, LW;26;3226;182;74;0;1,65;0,22;0;2,99;32,71;0,31;1;1,79;62,5;2,54;44,11;87,03
R. van La Parra;LAMF, LW;26;3220;181;72;17,65;2,15;0,06;0;1,7;36,07;0,03;3,63;4,58;67,68;1,68;28,65;76,49
A. Cresswell;LB, LWB, LCB3;28;3210;170;66;50;4,4;0;0;0,39;21,43;0,14;3,95;0,39;35,71;0,5;35,21;73,49
D. Payet;LAMF, LWF, AMF;30;3208;175;77;37,5;1,96;0,2;0;2,61;38,71;0,2;3,28;1,43;66,67;1,94;50,22;78,83
Ahmed El Mohamady;RB, RW;30;3202;183;78;0;5,09;0;0;0,25;11,11;0,08;4,19;0,9;53,13;0,9;43,65;75,79
E. Sala;CF;27;3188;187;75;16,67;2,35;0,51;0,12;2,09;47,22;0,15;0,7;1,1;47,37;3,22;20,74;67,37
D. Klaassen;RCMF3, AMF, LCMF3;24;3166;179;70;40,63;3,07;0,2;0;1,52;28,85;0,18;0,64;0,47;43,75;2,55;39;82,45
J. Schlupp;LB, LW;25;3166;178;72;20,59;6;0;0;0,56;10,53;0,03;1,54;1,24;47,62;0,83;30,9;77,7
S. Wagner;CF;30;3164;194;92;33,33;1,65;0,37;0,2;2,08;45,21;0,14;0,48;0,4;64,29;3,36;21,93;70,95
D. Liénard;LCMF3, LW, LCMF;29;3156;184;77;26,79;4,53;0,17;0;1,51;30,19;0,4;3,31;1,28;57,78;0,97;42,52;76,86
N. Kalinić;CF;30;3154;187;81;20;0,94;0,4;0,09;2,43;47,06;0,09;0,37;0,63;68,18;3,74;16,04;84,88
A. Ioniţă;RCMF3, LCMF3, AMF;27;3144;184;73;0;3,66;0,09;0,06;0,72;36;0,06;1,17;0,94;57,58;1,46;29,43;82,68
Carlos Clerc;LB, LB5, LWB;25;3143;182;72;57,14;3,89;0;0;0,14;40;0,09;3,81;2,46;60,47;0,8;31,44;64,57
D. Lezcano;CF;27;3132;178;79;25;1,41;0,26;0,03;2,27;41,77;0,14;0,49;1,52;71,7;3,91;20,29;77,76
A. Rispoli;RW, RWB, RB;29;3128;188;83;12,5;4,17;0,2;0,03;0,98;29,41;0,09;5,27;0,95;51,52;1,52;39,02;73,08
Portu;AMF, CF, RW;25;3127;178;75;57,14;1,38;0,29;0,03;1,67;41,38;0,03;2,33;2,36;57,32;3,4;20,29;75,89
Sergi Enrich;CF;27;3125;181;77;52,94;1,56;0,32;0,06;1,76;45,9;0,17;0,98;0,52;61,11;2,76;23,18;77,64
Deyverson;CF;26;3124;187;78;50;3,51;0,26;0,03;1,9;39,39;0,03;0,58;0,84;44,83;2,97;18,47;67,08
N. de Préville;CF, AMF;27;3123;182;77;38,1;2,39;0,4;0;2,74;30,53;0,09;2,02;2,62;52,75;3,05;26,95;73,8
M. Braithwaite;LAMF, CF, LW;26;3122;177;77;0;1,94;0,29;0;2,44;39,76;0,06;1,53;2,09;57,75;3,12;22,61;78,13
Thiago Alcântara;AMF, RDMF, LCMF3;26;3120;174;70;39,53;4,39;0,29;0,12;1,34;45,65;0,17;0,55;1,74;73,33;1,57;83,84;91,31
M. Lanzini;AMF, LCMF, LCMF3;24;3117;170;66;21,43;3,09;0,17;0;1,85;35,94;0,2;0,81;3,09;71,96;1,39;48,91;88,84
José Luis Morales;LW, LAMF, RW;30;3113;180;70;14,29;2,57;0,29;0;1,79;43,55;0,2;3,85;3,7;48,44;2,6;25,59;73,11
Ó. Trejo;AMF, CF, LCMF;29;3109;180;79;47,83;2,75;0,26;0,03;1,62;44,64;0,12;1,07;4,2;60;2,26;37,34;79,92
G. Donati;RB, RWB;27;3100;178;82;40;4,44;0;0;0,44;26,67;0,03;2,76;1,19;60,98;0,26;33,85;75,9
A. Delort;CF;26;3098;182;82;33,33;1,39;0,26;0;2,79;33,33;0,09;2,06;1,66;47,37;2,56;23,56;67,57
P. Groß;AMF, CF;26;3096;181;78;30;2,12;0,26;0;1,19;41,46;0,2;3,08;0,35;50;1,34;37,97;74,96
N. Redmond;LAMF, LW;23;3095;173;75;0;2,28;0,12;0;1,99;33,82;0,06;2,46;2,11;61,11;2,84;36,18;77,75
R. Brady;LW, RW, LB;25;3087;175;69;26,67;3,63;0,15;0;1,86;24,19;0,21;3,33;1,08;61,11;1,11;30,45;70,02
S. Mané;LWF, RWF, RAMF;25;3085;175;75;7,69;1,8;0,47;0,03;2,2;47,95;0,24;2,41;3,82;65,35;4,66;32,18;81,5
Y. Ōsako;CF;27;3079;182;71;25;1,93;0,26;0,09;1,78;45,9;0,15;0,99;1,17;55;2,6;25,66;75,17
Kiko Femenía;RB, RWB;26;3079;174;61;66,67;4,38;0;0;0,23;25;0,06;3,19;0,99;76,47;0,5;40,19;83,05
Á. di María;RWF, LWF;29;3072;180;75;8;2,08;0,47;0,03;3,6;45,53;0,41;5,65;2,17;56,76;4,13;45,91;74,35
J. Roussillon;LB, LWB, LB5;25;3070;175;80;75;3,5;0,09;0;0,79;34,62;0,09;4,26;2,2;57,53;1,3;37,99;77,9
K. Mitroglou;CF;29;3069;188;86;0;0,62;0,67;0,15;2,76;50;0,06;0,38;0,56;63,16;3,59;12,82;77,29
C. Atsu;LW, RW, LAMF;26;3066;172;68;100;3,14;0,12;0;1,61;32,73;0,18;2,99;2,82;47,92;2,5;27,59;78,83
Carlos Carmona;RW, RAMF, RWF;30;3064;178;74;40;3,7;0,23;0,03;1,5;49,02;0,12;2,88;1,82;45,16;1,97;36,8;71,11
Álvaro Morata;CF;25;3062;189;85;40;1,26;0,76;0,41;3,53;49,17;0,21;1,18;1,65;55,36;5,14;21,05;77,93
A. Pléa;CF, LWF;24;3058;181;79;100;1,03;0,32;0,03;2,77;41,49;0,09;0,77;1,77;68,33;3,24;28,9;82,89
M. Politano;LWF, RWF;24;3054;171;65;0;2,27;0,21;0;2,83;40,63;0,21;4,1;2,77;59,57;2,8;31,65;69,83
A. Ayew;CF, AMF, RW;28;3049;176;72;20;2,21;0,38;0,06;1,53;50;0,12;0,97;1,18;70;2,13;26,77;81,37
Gabriel;AMF, LCMF, CF;24;3047;187;82;27,78;3,25;0,21;0;1,6;37,04;0,03;1,03;1,89;65,63;1,68;34,35;74,89
O. Wriedt;CF;23;3044;188;80;25;1,19;0,5;0,03;3,14;42;0,22;1,76;1,92;62,3;3,96;15,08;72,71
F. Borini;LWF, RWF, RWB;26;3043;180;74;50;4,65;0,06;0;2,07;41,18;0,12;2,55;1,21;80;2,1;31,26;78,52
