"player";"lineup";"post";"matchday"
"Olivier Giroud";"bench";"Centre-Forward";18
"Danny Welbeck";"bench";"Right Wing";18
"Petr Cech";"starting";"Keeper";19
"Laurent Koscielny";"starting";"Centre-Back";19
"Nacho Monreal";"starting";"Centre-Back";19
"Ainsley Maitland-Niles";"starting";"Left-Back";19
"Héctor Bellerín";"starting";"Right-Back";19
"Granit Xhaka";"starting";"Defensive Midfield";19
"Jack Wilshere";"starting";"Central Midfield";19
"Mesut Özil";"starting";"Attacking Midfield";19
"Alexis Sánchez";"starting";"Left Wing";19
"Alex Iwobi";"starting";"Right Wing";19
"Alexandre Lacazette";"starting";"Centre-Forward";19
"David Ospina";"bench";"Keeper";19
"Shkodran Mustafi";"bench";"Centre-Back";19
"Sead Kolasinac";"bench";"Left-Back";19
"Francis Coquelin";"bench";"Defensive Midfield";19
"Mohamed Elneny";"bench";"Defensive Midfield";19
"Theo Walcott";"bench";"Right Wing";19
"Danny Welbeck";"bench";"Centre-Forward";19
"Petr Cech";"starting";"Keeper";20
"Laurent Koscielny";"starting";"Centre-Back";20
"Shkodran Mustafi";"starting";"Centre-Back";20
"Calum Chambers";"starting";"Centre-Back";20
"Granit Xhaka";"starting";"Defensive Midfield";20
"Jack Wilshere";"starting";"Defensive Midfield";20
"Héctor Bellerín";"starting";"Right Midfield";20
"Sead Kolasinac";"starting";"Left Midfield";20
"Mesut Özil";"starting";"Attacking Midfield";20
"Alexis Sánchez";"starting";"Attacking Midfield";20
"Alexandre Lacazette";"starting";"Centre-Forward";20
"David Ospina";"bench";"Keeper";20
"Rob Holding";"bench";"Centre-Back";20
"Francis Coquelin";"bench";"Defensive Midfield";20
"Ainsley Maitland-Niles";"bench";"Right Midfield";20
"Alex Iwobi";"bench";"Left Wing";20
"Theo Walcott";"bench";"Right Wing";20
"Danny Welbeck";"bench";"Centre-Forward";20
"Petr Cech";"starting";"Keeper";21
"Laurent Koscielny";"starting";"Centre-Back";21
"Shkodran Mustafi";"starting";"Centre-Back";21
"Calum Chambers";"starting";"Centre-Back";21
"Granit Xhaka";"starting";"Defensive Midfield";21
"Jack Wilshere";"starting";"Defensive Midfield";21
"Héctor Bellerín";"starting";"Right Midfield";21
"Sead Kolasinac";"starting";"Left Midfield";21
"Alexis Sánchez";"starting";"Attacking Midfield";21
"Alex Iwobi";"starting";"Attacking Midfield";21
"Alexandre Lacazette";"starting";"Centre-Forward";21
"David Ospina";"bench";"Keeper";21
"Per Mertesacker";"bench";"Centre-Back";21
"Francis Coquelin";"bench";"Defensive Midfield";21
"Mohamed Elneny";"bench";"Defensive Midfield";21
"Ainsley Maitland-Niles";"bench";"Left Midfield";21
"Theo Walcott";"bench";"Right Wing";21
"Danny Welbeck";"bench";"Secondary Striker";21
"Petr Cech";"starting";"Keeper";22
"Rob Holding";"starting";"Centre-Back";22
"Shkodran Mustafi";"starting";"Centre-Back";22
"Calum Chambers";"starting";"Centre-Back";22
"Granit Xhaka";"starting";"Defensive Midfield";22
"Jack Wilshere";"starting";"Central Midfield";22
"Héctor Bellerín";"starting";"Right Midfield";22
"Ainsley Maitland-Niles";"starting";"Left Midfield";22
"Mesut Özil";"starting";"Attacking Midfield";22
"Alexis Sánchez";"starting";"Centre-Forward";22
"Alexandre Lacazette";"starting";"Centre-Forward";22
"David Ospina";"bench";"Keeper";22
"Per Mertesacker";"bench";"Centre-Back";22
"Francis Coquelin";"bench";"Defensive Midfield";22
"Mohamed Elneny";"bench";"Defensive Midfield";22
"Alex Iwobi";"bench";"Left Wing";22
"Theo Walcott";"bench";"Right Wing";22
"Danny Welbeck";"bench";"Centre-Forward";22
"Petr Cech";"starting";"Keeper";23
"Rob Holding";"starting";"Centre-Back";23
"Shkodran Mustafi";"starting";"Centre-Back";23
"Calum Chambers";"starting";"Centre-Back";23
"Granit Xhaka";"starting";"Defensive Midfield";23
"Jack Wilshere";"starting";"Defensive Midfield";23
"Héctor Bellerín";"starting";"Right Midfield";23
"Ainsley Maitland-Niles";"starting";"Left Midfield";23
"Alex Iwobi";"starting";"Attacking Midfield";23
"Danny Welbeck";"starting";"Attacking Midfield";23
"Alexandre Lacazette";"starting";"Centre-Forward";23
"David Ospina";"bench";"Keeper";23
"Per Mertesacker";"bench";"Centre-Back";23
"Sead Kolasinac";"bench";"Left-Back";23
"Mohamed Elneny";"bench";"Defensive Midfield";23
