"player";"lineup";"post";"matchday"
"Alexis Sánchez";"starting";"Left Wing";19
"Lucas Pérez";"starting";"Right Wing";19
"Olivier Giroud";"starting";"Centre-Forward";19
"David Ospina";"bench";"Keeper";19
"Shkodran Mustafi";"bench";"Centre-Back";19
"Francis Coquelin";"bench";"Defensive Midfield";19
"Aaron Ramsey";"bench";"Attacking Midfield";19
"Jeff Reine-Adelaide";"bench";"Central Midfield";19
"Alex Oxlade-Chamberlain";"bench";"Right Midfield";19
"Ainsley Maitland-Niles";"bench";"Right Midfield";19
"Petr Cech";"starting";"Keeper";20
"Laurent Koscielny";"starting";"Centre-Back";20
"Shkodran Mustafi";"starting";"Centre-Back";20
"Nacho Monreal";"starting";"Left-Back";20
"Héctor Bellerín";"starting";"Right-Back";20
"Francis Coquelin";"starting";"Defensive Midfield";20
"Granit Xhaka";"starting";"Central Midfield";20
"Aaron Ramsey";"starting";"Central Midfield";20
"Alexis Sánchez";"starting";"Left Wing";20
"Alex Iwobi";"starting";"Right Wing";20
"Olivier Giroud";"starting";"Centre-Forward";20
"David Ospina";"bench";"Keeper";20
"Gabriel Paulista";"bench";"Centre-Back";20
"Rob Holding";"bench";"Centre-Back";20
"Jeff Reine-Adelaide";"bench";"Central Midfield";20
"Alex Oxlade-Chamberlain";"bench";"Right Midfield";20
"Ainsley Maitland-Niles";"bench";"Right Midfield";20
"Lucas Pérez";"bench";"Secondary Striker";20
"Petr Cech";"starting";"Keeper";21
"Laurent Koscielny";"starting";"Centre-Back";21
"Shkodran Mustafi";"starting";"Centre-Back";21
"Nacho Monreal";"starting";"Left-Back";21
"Gabriel Paulista";"starting";"Right-Back";21
"Granit Xhaka";"starting";"Defensive Midfield";21
"Aaron Ramsey";"starting";"Central Midfield";21
"Mesut Özil";"starting";"Attacking Midfield";21
"Alexis Sánchez";"starting";"Left Wing";21
"Alex Iwobi";"starting";"Right Wing";21
"Olivier Giroud";"starting";"Centre-Forward";21
"David Ospina";"bench";"Keeper";21
"Rob Holding";"bench";"Centre-Back";21
"Jeff Reine-Adelaide";"bench";"Central Midfield";21
"Alex Oxlade-Chamberlain";"bench";"Right Midfield";21
"Ainsley Maitland-Niles";"bench";"Right Midfield";21
"Lucas Pérez";"bench";"Centre-Forward";21
"Danny Welbeck";"bench";"Centre-Forward";21
"Petr Cech";"starting";"Keeper";22
"Laurent Koscielny";"starting";"Centre-Back";22
"Shkodran Mustafi";"starting";"Centre-Back";22
"Nacho Monreal";"starting";"Left-Back";22
"Gabriel Paulista";"starting";"Right-Back";22
"Granit Xhaka";"starting";"Defensive Midfield";22
"Aaron Ramsey";"starting";"Defensive Midfield";22
"Mesut Özil";"starting";"Attacking Midfield";22
"Alexis Sánchez";"starting";"Left Wing";22
"Alex Iwobi";"starting";"Right Wing";22
"Olivier Giroud";"starting";"Centre-Forward";22
"David Ospina";"bench";"Keeper";22
"Kieran Gibbs";"bench";"Left-Back";22
"Héctor Bellerín";"bench";"Right-Back";22
"Francis Coquelin";"bench";"Defensive Midfield";22
"Alex Oxlade-Chamberlain";"bench";"Right Midfield";22
"Lucas Pérez";"bench";"Centre-Forward";22
"Danny Welbeck";"bench";"Centre-Forward";22
"Petr Cech";"starting";"Keeper";23
"Laurent Koscielny";"starting";"Centre-Back";23
"Shkodran Mustafi";"starting";"Centre-Back";23
"Nacho Monreal";"starting";"Left-Back";23
"Gabriel Paulista";"starting";"Right-Back";23
"Francis Coquelin";"starting";"Defensive Midfield";23
"Aaron Ramsey";"starting";"Central Midfield";23
"Mesut Özil";"starting";"Attacking Midfield";23
"Alexis Sánchez";"starting";"Left Wing";23
"Alex Iwobi";"starting";"Right Wing";23
"Olivier Giroud";"starting";"Centre-Forward";23
"David Ospina";"bench";"Keeper";23
"Kieran Gibbs";"bench";"Left-Back";23
"Héctor Bellerín";"bench";"Right-Back";23
"Alex Oxlade-Chamberlain";"bench";"Defensive Midfield";23
"Ainsley Maitland-Niles";"bench";"Right Midfield";23
"Theo Walcott";"bench";"Right Wing";23
"Lucas Pérez";"bench";"Centre-Forward";23
"Petr Cech";"starting";"Keeper";24
"Laurent Koscielny";"starting";"Centre-Back";24
"Shkodran Mustafi";"starting";"Centre-Back";24
