"player";"lineup";"post";"matchday"
"Arnaud Lusamba";"bench";"Attacking Midfield";19
"Vincent Marcel";"bench";"Right Wing";19
"Anastasios Donis";"bench";"Centre-Forward";19
"Alexy Bosetti";"bench";"Centre-Forward";19
"Walter Benítez";"starting";"Keeper";20
"Dante";"starting";"Centre-Back";20
"Malang Sarr";"starting";"Centre-Back";20
"Paul Baysse";"starting";"Centre-Back";20
"Wylan Cyprien";"starting";"Central Midfield";20
"Vincent Koziello";"starting";"Central Midfield";20
"Arnaud Souquet";"starting";"Right Midfield";20
"Dalbert";"starting";"Left Midfield";20
"Arnaud Lusamba";"starting";"Left Wing";20
"Ricardo Pereira";"starting";"Right Wing";20
"Alassane Pléa";"starting";"Centre-Forward";20
"Simon Pouplin";"bench";"Keeper";20
"Joakim Balmy";"bench";"Abwehr";20
"Patrick Burner";"bench";"Right-Back";20
"Hicham Mahou";"bench";"Right Wing";20
"Vincent Marcel";"bench";"Right Wing";20
"Anastasios Donis";"bench";"Centre-Forward";20
"Alexy Bosetti";"bench";"Centre-Forward";20
"Walter Benítez";"starting";"Keeper";21
"Dante";"starting";"Centre-Back";21
"Malang Sarr";"starting";"Centre-Back";21
"Arnaud Souquet";"starting";"Centre-Back";21
"Rémi Walter";"starting";"Central Midfield";21
"Wylan Cyprien";"starting";"Central Midfield";21
"Vincent Koziello";"starting";"Central Midfield";21
"Patrick Burner";"starting";"Right Midfield";21
"Dalbert";"starting";"Left Midfield";21
"Mario Balotelli";"starting";"Centre-Forward";21
"Alassane Pléa";"starting";"Centre-Forward";21
"Simon Pouplin";"bench";"Keeper";21
"Joakim Balmy";"bench";"Abwehr";21
"Arnaud Lusamba";"bench";"Attacking Midfield";21
"Hicham Mahou";"bench";"Right Wing";21
"Vincent Marcel";"bench";"Right Wing";21
"Anastasios Donis";"bench";"Centre-Forward";21
"Alexy Bosetti";"bench";"Centre-Forward";21
"Yoan Cardinale";"starting";"Keeper";22
"Dante";"starting";"Centre-Back";22
"Malang Sarr";"starting";"Centre-Back";22
"Dalbert";"starting";"Left-Back";22
