"player";"lineup";"matchday"
"Francis Coquelin ";"player";23
"Aaron Ramsey ";"player";23
"Mesut Özil ";"player";23
"Alexis Sánchez ";"player";23
"Alex Iwobi ";"player";23
"Olivier Giroud ";"player";23
"David Ospina ";"bench";23
"Kieran Gibbs ";"bench";23
"Héctor Bellerín ";"bench";23
"Alex Oxlade-Chamberlain ";"bench";23
"Ainsley Maitland-Niles ";"bench";23
"Theo Walcott ";"bench";23
"Lucas Pérez ";"bench";23
"Thibaut Courtois ";"player";24
"David Luiz ";"player";24
"Gary Cahill  ";"player";24
"César Azpilicueta ";"player";24
"Nemanja Matic ";"player";24
"N'Golo Kanté ";"player";24
"Victor Moses ";"player";24
"Marcos Alonso ";"player";24
"Eden Hazard ";"player";24
"Pedro ";"player";24
"Diego Costa ";"player";24
"Asmir Begovic ";"bench";24
"Kurt Zouma ";"bench";24
"John Terry ";"bench";24
"Nathaniel Chalobah ";"bench";24
"Cesc Fàbregas ";"bench";24
"Willian ";"bench";24
"Michy Batshuayi ";"bench";24
"Petr Cech ";"player";25
"Laurent Koscielny  ";"player";25
"Shkodran Mustafi ";"player";25
"Kieran Gibbs ";"player";25
"Héctor Bellerín ";"player";25
"Francis Coquelin ";"player";25
"Alex Oxlade-Chamberlain ";"player";25
"Mesut Özil ";"player";25
"Alex Iwobi ";"player";25
"Theo Walcott ";"player";25
"Alexis Sánchez ";"player";25
"David Ospina ";"bench";25
"Gabriel Paulista ";"bench";25
"Nacho Monreal ";"bench";25
"Mohamed Elneny ";"bench";25
"Lucas Pérez ";"bench";25
"Olivier Giroud ";"bench";25
"Danny Welbeck ";"bench";25
"Fraser Forster ";"player";26
"Maya Yoshida ";"player";26
"Jack Stephens ";"player";26
"Ryan Bertrand ";"player";26
"Cédric Soares ";"player";26
"Oriol Romeu ";"player";26
"Steven Davis  ";"player";26
"James Ward-Prowse ";"player";26
"Dusan Tadic ";"player";26
"Nathan Redmond ";"player";26
"Manolo Gabbiadini ";"player";26
"Mouez Hassen ";"bench";26
"Martín Cáceres ";"bench";26
"Pierre-Emile Höjbjerg ";"bench";26
"Jérémy Pied ";"bench";26
"Sofiane Boufal ";"bench";26
"Shane Long ";"bench";26
"Jay Rodríguez ";"bench";26
"Simon Mignolet ";"player";27
"Ragnar Klavan ";"player";27
"Joel Matip ";"player";27
"James Milner  ";"player";27
"Nathaniel Clyne ";"player";27
"Emre Can ";"player";27
"Georginio Wijnaldum ";"player";27
"Adam Lallana ";"player";27
"Philippe Coutinho ";"player";27
"Sadio Mané ";"player";27
"Roberto Firmino ";"player";27
"Loris Karius ";"bench";27
"Dejan Lovren ";"bench";27
"Alberto Moreno ";"bench";27
"Trent Alexander-Arnold ";"bench";27
"Lucas Leiva ";"bench";27
"Ben Woodburn ";"bench";27
"Divock Origi ";"bench";27
"Petr Cech ";"player";28
"Gabriel Paulista ";"player";28
"Laurent Koscielny  ";"player";28
"Nacho Monreal ";"player";28
"Granit Xhaka ";"player";28
"Francis Coquelin ";"player";28
"Héctor Bellerín ";"player";28
"Kieran Gibbs ";"player";28
"Mesut Özil ";"player";28
"Theo Walcott ";"player";28
"Alexis Sánchez ";"player";28
"Emiliano Martínez ";"bench";28
"Mohamed Elneny ";"bench";28
"Aaron Ramsey ";"bench";28
"Alex Oxlade-Chamberlain ";"bench";28
"Alex Iwobi ";"bench";28
"Olivier Giroud ";"bench";28
"Danny Welbeck ";"bench";28
"Ben Foster ";"player";29
"Jonny Evans ";"player";29
"Gareth McAuley ";"player";29
"Allan Nyom ";"player";29
"Craig Dawson ";"player";29
"Jake Livermore ";"player";29
"Darren Fletcher  ";"player";29
"Chris Brunt ";"player";29
"James McClean ";"player";29
"Nacer Chadli ";"player";29
"José Salomón Rondón ";"player";29
"Boaz Myhill ";"bench";29
"Jonas Olsson ";"bench";29
"Marc Wilson ";"bench";29
"Claudio Yacob ";"bench";29
"Sam Field ";"bench";29
