"player";"post";"lineup";"matchday"
"Kevin Wimmer";"Centre-Back";"bench";17
"Ben Davies";"Left-Back";"bench";17
"Kieran Trippier";"Right-Back";"bench";17
"Moussa Sissoko";"Right Midfield";"bench";17
"Heung-Min Son";"Left Wing";"bench";17
"Georges-Kevin N'Koudou";"Left Wing";"bench";17
"Hugo Lloris";"Keeper";"starting";18
"Jan Vertonghen";"Centre-Back";"starting";18
"Eric Dier";"Centre-Back";"starting";18
"Danny Rose";"Left-Back";"starting";18
"Kyle Walker";"Right-Back";"starting";18
"Victor Wanyama";"Defensive Midfield";"starting";18
"Mousa Dembélé";"Central Midfield";"starting";18
"Moussa Sissoko";"Right Midfield";"starting";18
"Dele Alli";"Left Midfield";"starting";18
"Christian Eriksen";"Attacking Midfield";"starting";18
"Harry Kane";"Centre-Forward";"starting";18
"Michel Vorm";"Keeper";"bench";18
"Kevin Wimmer";"Centre-Back";"bench";18
"Ben Davies";"Left-Back";"bench";18
"Harry Winks";"Central Midfield";"bench";18
"Heung-Min Son";"Left Wing";"bench";18
"Georges-Kevin N'Koudou";"Left Wing";"bench";18
"Vincent Janssen";"Centre-Forward";"bench";18
"Hugo Lloris";"Keeper";"starting";19
"Kevin Wimmer";"Centre-Back";"starting";19
"Toby Alderweireld";"Centre-Back";"starting";19
"Eric Dier";"Centre-Back";"starting";19
"Victor Wanyama";"Defensive Midfield";"starting";19
"Dele Alli";"Central Midfield";"starting";19
"Kieran Trippier";"Right Midfield";"starting";19
"Danny Rose";"Left Midfield";"starting";19
"Christian Eriksen";"Attacking Midfield";"starting";19
"Heung-Min Son";"Centre-Forward";"starting";19
"Harry Kane";"Centre-Forward";"starting";19
"Michel Vorm";"Keeper";"bench";19
"Cameron Carter-Vickers";"Centre-Back";"bench";19
"Ben Davies";"Left-Back";"bench";19
"Mousa Dembélé";"Central Midfield";"bench";19
"Moussa Sissoko";"Central Midfield";"bench";19
"Harry Winks";"Central Midfield";"bench";19
"Vincent Janssen";"Centre-Forward";"bench";19
"Hugo Lloris";"Keeper";"starting";20
"Jan Vertonghen";"Centre-Back";"starting";20
"Toby Alderweireld";"Centre-Back";"starting";20
"Eric Dier";"Centre-Back";"starting";20
"Victor Wanyama";"Defensive Midfield";"starting";20
"Mousa Dembélé";"Defensive Midfield";"starting";20
"Kyle Walker";"Right Midfield";"starting";20
"Danny Rose";"Left Midfield";"starting";20
"Dele Alli";"Attacking Midfield";"starting";20
"Christian Eriksen";"Attacking Midfield";"starting";20
"Harry Kane";"Centre-Forward";"starting";20
"Michel Vorm";"Keeper";"bench";20
"Kevin Wimmer";"Centre-Back";"bench";20
"Ben Davies";"Left-Back";"bench";20
"Kieran Trippier";"Right-Back";"bench";20
"Moussa Sissoko";"Attacking Midfield";"bench";20
"Harry Winks";"Defensive Midfield";"bench";20
"Heung-Min Son";"Left Wing";"bench";20
"Hugo Lloris";"Keeper";"starting";21
"Jan Vertonghen";"Centre-Back";"starting";21
"Toby Alderweireld";"Centre-Back";"starting";21
"Eric Dier";"Centre-Back";"starting";21
"Victor Wanyama";"Defensive Midfield";"starting";21
"Mousa Dembélé";"Defensive Midfield";"starting";21
"Kyle Walker";"Right Midfield";"starting";21
"Danny Rose";"Left Midfield";"starting";21
"Dele Alli";"Attacking Midfield";"starting";21
"Christian Eriksen";"Attacking Midfield";"starting";21
"Harry Kane";"Centre-Forward";"starting";21
"Michel Vorm";"Keeper";"bench";21
"Ben Davies";"Centre-Back";"bench";21
"Kieran Trippier";"Right-Back";"bench";21
"Moussa Sissoko";"Central Midfield";"bench";21
"Harry Winks";"Defensive Midfield";"bench";21
"Heung-Min Son";"Left Wing";"bench";21
"Georges-Kevin N'Koudou";"Left Wing";"bench";21
"Hugo Lloris";"Keeper";"starting";22
"Kevin Wimmer";"Centre-Back";"starting";22
"Toby Alderweireld";"Centre-Back";"starting";22
"Eric Dier";"Centre-Back";"starting";22
"Victor Wanyama";"Defensive Midfield";"starting";22
"Mousa Dembélé";"Defensive Midfield";"starting";22
"Kyle Walker";"Right Midfield";"starting";22
"Danny Rose";"Left Midfield";"starting";22
"Dele Alli";"Attacking Midfield";"starting";22
"Christian Eriksen";"Attacking Midfield";"starting";22
"Harry Kane";"Centre-Forward";"starting";22
"Michel Vorm";"Keeper";"bench";22
"Cameron Carter-Vickers";"Centre-Back";"bench";22
"Ben Davies";"Left-Back";"bench";22
"Kieran Trippier";"Right-Back";"bench";22
"Moussa Sissoko";"Central Midfield";"bench";22
"Harry Winks";"Central Midfield";"bench";22
"Heung-Min Son";"Left Wing";"bench";22
"Michel Vorm";"Keeper";"starting";23
"Toby Alderweireld";"Centre-Back";"starting";23
"Eric Dier";"Centre-Back";"starting";23
"Danny Rose";"Left-Back";"starting";23
"Kyle Walker";"Right-Back";"starting";23
"Victor Wanyama";"Defensive Midfield";"starting";23
"Mousa Dembélé";"Central Midfield";"starting";23
"Dele Alli";"Left Midfield";"starting";23
"Christian Eriksen";"Attacking Midfield";"starting";23
"Heung-Min Son";"Right Wing";"starting";23
"Harry Kane";"Centre-Forward";"starting";23
"Pau López";"Keeper";"bench";23
"Kevin Wimmer";"Centre-Back";"bench";23
"Cameron Carter-Vickers";"Centre-Back";"bench";23
"Ben Davies";"Left-Back";"bench";23
"Moussa Sissoko";"Right Midfield";"bench";23
"Harry Winks";"Central Midfield";"bench";23
"Vincent Janssen";"Centre-Forward";"bench";23
"Hugo Lloris";"Keeper";"starting";24
"Toby Alderweireld";"Centre-Back";"starting";24
"Eric Dier";"Centre-Back";"starting";24
"Ben Davies";"Left-Back";"starting";24
"Kyle Walker";"Right-Back";"starting";24
"Victor Wanyama";"Defensive Midfield";"starting";24
"Mousa Dembélé";"Central Midfield";"starting";24
"Christian Eriksen";"Right Midfield";"starting";24
"Dele Alli";"Attacking Midfield";"starting";24
"Heung-Min Son";"Left Wing";"starting";24
"Harry Kane";"Centre-Forward";"starting";24
"Michel Vorm";"Keeper";"bench";24
"Kevin Wimmer";"Centre-Back";"bench";24
"Cameron Carter-Vickers";"Centre-Back";"bench";24
"Moussa Sissoko";"Left Midfield";"bench";24
"Harry Winks";"Central Midfield";"bench";24
"Josh Onomah";"Attacking Midfield";"bench";24
"Vincent Janssen";"Centre-Forward";"bench";24
"Hugo Lloris";"Keeper";"starting";25
"Toby Alderweireld";"Centre-Back";"starting";25
"Eric Dier";"Centre-Back";"starting";25
"Ben Davies";"Left-Back";"starting";25
"Kyle Walker";"Right-Back";"starting";25
"Victor Wanyama";"Defensive Midfield";"starting";25
"Mousa Dembélé";"Defensive Midfield";"starting";25
"Christian Eriksen";"Right Midfield";"starting";25
"Dele Alli";"Left Midfield";"starting";25
"Heung-Min Son";"Secondary Striker";"starting";25
"Harry Kane";"Centre-Forward";"starting";25
"Michel Vorm";"Keeper";"bench";25
"Kevin Wimmer";"Centre-Back";"bench";25
"Kieran Trippier";"Right-Back";"bench";25
"Moussa Sissoko";"Right Midfield";"bench";25
"Harry Winks";"Central Midfield";"bench";25
"Georges-Kevin N'Koudou";"Left Wing";"bench";25
"Vincent Janssen";"Centre-Forward";"bench";25
"Hugo Lloris";"Keeper";"starting";26
"Jan Vertonghen";"Centre-Back";"starting";26
"Toby Alderweireld";"Centre-Back";"starting";26
"Eric Dier";"Centre-Back";"starting";26
"Victor Wanyama";"Defensive Midfield";"starting";26
"Mousa Dembélé";"Defensive Midfield";"starting";26
"Kyle Walker";"Right Midfield";"starting";26
"Ben Davies";"Left Midfield";"starting";26
"Dele Alli";"Attacking Midfield";"starting";26
"Christian Eriksen";"Attacking Midfield";"starting";26
"Harry Kane";"Centre-Forward";"starting";26
"Michel Vorm";"Keeper";"bench";26
"Kevin Wimmer";"Centre-Back";"bench";26
"Kieran Trippier";"Right-Back";"bench";26
"Moussa Sissoko";"Central Midfield";"bench";26
"Harry Winks";"Central Midfield";"bench";26
"Heung-Min Son";"Centre-Forward";"bench";26
"Vincent Janssen";"Centre-Forward";"bench";26
"Hugo Lloris";"Keeper";"starting";27
"Jan Vertonghen";"Centre-Back";"starting";27
"Toby Alderweireld";"Centre-Back";"starting";27
"Eric Dier";"Centre-Back";"starting";27
"Victor Wanyama";"Defensive Midfield";"starting";27
"Mousa Dembélé";"Defensive Midfield";"starting";27
"Kyle Walker";"Right Midfield";"starting";27
"Ben Davies";"Left Midfield";"starting";27
"Dele Alli";"Attacking Midfield";"starting";27
"Christian Eriksen";"Attacking Midfield";"starting";27
"Harry Kane";"Centre-Forward";"starting";27
"Michel Vorm";"Keeper";"bench";27
"Kevin Wimmer";"Centre-Back";"bench";27
"Kieran Trippier";"Right-Back";"bench";27
"Moussa Sissoko";"Central Midfield";"bench";27
"Harry Winks";"Defensive Midfield";"bench";27
"Heung-Min Son";"Left Wing";"bench";27
"Vincent Janssen";"Centre-Forward";"bench";27
"Hugo Lloris";"Keeper";"starting";28
"Jan Vertonghen";"Centre-Back";"starting";28
"Toby Alderweireld";"Centre-Back";"starting";28
"Eric Dier";"Centre-Back";"starting";28
"Victor Wanyama";"Defensive Midfield";"starting";28
"Mousa Dembélé";"Defensive Midfield";"starting";28
"Kyle Walker";"Right Midfield";"starting";28
"Ben Davies";"Left Midfield";"starting";28
"Dele Alli";"Attacking Midfield";"starting";28
"Christian Eriksen";"Attacking Midfield";"starting";28
"Harry Kane";"Centre-Forward";"starting";28
"Pau López";"Keeper";"bench";28
"Kevin Wimmer";"Centre-Back";"bench";28
"Kieran Trippier";"Right-Back";"bench";28
"Moussa Sissoko";"Right Midfield";"bench";28
"Heung-Min Son";"Left Wing";"bench";28
"Georges-Kevin N'Koudou";"Left Wing";"bench";28
"Vincent Janssen";"Centre-Forward";"bench";28
"Hugo Lloris";"Keeper";"starting";29
"Jan Vertonghen";"Centre-Back";"starting";29
"Toby Alderweireld";"Centre-Back";"starting";29
"Eric Dier";"Centre-Back";"starting";29
"Victor Wanyama";"Defensive Midfield";"starting";29
"Mousa Dembélé";"Defensive Midfield";"starting";29
"Kyle Walker";"Right Midfield";"starting";29
"Ben Davies";"Left Midfield";"starting";29
"Dele Alli";"Attacking Midfield";"starting";29
"Christian Eriksen";"Attacking Midfield";"starting";29
"Heung-Min Son";"Centre-Forward";"starting";29
"Michel Vorm";"Keeper";"bench";29
"Kevin Wimmer";"Centre-Back";"bench";29
"Kieran Trippier";"Right-Back";"bench";29
"Moussa Sissoko";"Central Midfield";"bench";29
"Harry Winks";"Attacking Midfield";"bench";29
"Josh Onomah";"Attacking Midfield";"bench";29
"Vincent Janssen";"Centre-Forward";"bench";29
"Hugo Lloris";"Keeper";"starting";30
"Jan Vertonghen";"Centre-Back";"starting";30
"Toby Alderweireld";"Centre-Back";"starting";30
"Eric Dier";"Centre-Back";"starting";30
"Victor Wanyama";"Defensive Midfield";"starting";30
"Harry Winks";"Defensive Midfield";"starting";30
"Kieran Trippier";"Right Midfield";"starting";30
"Ben Davies";"Left Midfield";"starting";30
"Dele Alli";"Attacking Midfield";"starting";30
"Christian Eriksen";"Attacking Midfield";"starting";30
"Vincent Janssen";"Centre-Forward";"starting";30
"Michel Vorm";"Keeper";"bench";30
"Cameron Carter-Vickers";"Centre-Back";"bench";30
"Kyle Walker";"Right-Back";"bench";30
"Mousa Dembélé";"Central Midfield";"bench";30
"Moussa Sissoko";"Right Midfield";"bench";30
"Heung-Min Son";"Centre-Forward";"bench";30
"Georges-Kevin N'Koudou";"Left Wing";"bench";30
"Michel Vorm";"Keeper";"starting";31
"Jan Vertonghen";"Centre-Back";"starting";31
"Toby Alderweireld";"Centre-Back";"starting";31
"Ben Davies";"Left-Back";"starting";31
"Kyle Walker";"Right-Back";"starting";31
"Eric Dier";"Defensive Midfield";"starting";31
"Mousa Dembélé";"Central Midfield";"starting";31
"Moussa Sissoko";"Right Midfield";"starting";31
"Dele Alli";"Left Midfield";"starting";31
"Christian Eriksen";"Attacking Midfield";"starting";31
"Heung-Min Son";"Centre-Forward";"starting";31
"Pau López";"Keeper";"bench";31
"Kevin Wimmer";"Centre-Back";"bench";31
"Cameron Carter-Vickers";"Centre-Back";"bench";31
"Kieran Trippier";"Right-Back";"bench";31
"Josh Onomah";"Attacking Midfield";"bench";31
"Georges-Kevin N'Koudou";"Left Midfield";"bench";31
"Vincent Janssen";"Centre-Forward";"bench";31
"Hugo Lloris";"Keeper";"starting";32
"Jan Vertonghen";"Centre-Back";"starting";32
"Toby Alderweireld";"Centre-Back";"starting";32
"Ben Davies";"Left-Back";"starting";32
"Kieran Trippier";"Right-Back";"starting";32
"Eric Dier";"Defensive Midfield";"starting";32
"Mousa Dembélé";"Central Midfield";"starting";32
"Christian Eriksen";"Right Midfield";"starting";32
"Dele Alli";"Attacking Midfield";"starting";32
"Heung-Min Son";"Left Wing";"starting";32
"Vincent Janssen";"Centre-Forward";"starting";32
"Pau López";"Keeper";"bench";32
"Kevin Wimmer";"Centre-Back";"bench";32
"Kyle Walker";"Right-Back";"bench";32
"Moussa Sissoko";"Central Midfield";"bench";32
"Josh Onomah";"Attacking Midfield";"bench";32
"Georges-Kevin N'Koudou";"Left Wing";"bench";32
"Harry Kane";"Centre-Forward";"bench";32
"Hugo Lloris";"Keeper";"starting";33
"Jan Vertonghen";"Centre-Back";"starting";33
"Toby Alderweireld";"Centre-Back";"starting";33
"Ben Davies";"Left-Back";"starting";33
"Kyle Walker";"Right-Back";"starting";33
"Eric Dier";"Defensive Midfield";"starting";33
"Mousa Dembélé";"Central Midfield";"starting";33
"Christian Eriksen";"Right Midfield";"starting";33
"Dele Alli";"Attacking Midfield";"starting";33
