"player";"lineup";"post";"matchday"
"Jesús Navas";"bench";"Right Wing";23
"Sergio Agüero";"bench";"Centre-Forward";23
"Willy Caballero";"starting";"Keeper";24
"John Stones";"starting";"Centre-Back";24
"Aleksandar Kolarov";"starting";"Centre-Back";24
"Gaël Clichy";"starting";"Left-Back";24
"Fernandinho";"starting";"Right-Back";24
"Yaya Touré";"starting";"Defensive Midfield";24
"David Silva";"starting";"Central Midfield";24
"Kevin De Bruyne";"starting";"Central Midfield";24
"Leroy Sané";"starting";"Left Wing";24
"Raheem Sterling";"starting";"Right Wing";24
"Gabriel Jesus";"starting";"Centre-Forward";24
"Claudio Bravo";"bench";"Keeper";24
"Vincent Kompany";"bench";"Centre-Back";24
"Pablo Zabaleta";"bench";"Right-Back";24
"Fernando";"bench";"Defensive Midfield";24
"Fabian Delph";"bench";"Central Midfield";24
"Jesús Navas";"bench";"Right Wing";24
"Sergio Agüero";"bench";"Centre-Forward";24
"Willy Caballero";"starting";"Keeper";25
"John Stones";"starting";"Centre-Back";25
"Aleksandar Kolarov";"starting";"Centre-Back";25
"Fernandinho";"starting";"Left-Back";25
"Bacary Sagna";"starting";"Right-Back";25
"Yaya Touré";"starting";"Defensive Midfield";25
"David Silva";"starting";"Central Midfield";25
"Kevin De Bruyne";"starting";"Central Midfield";25
"Leroy Sané";"starting";"Left Wing";25
"Raheem Sterling";"starting";"Right Wing";25
"Gabriel Jesus";"starting";"Centre-Forward";25
"Claudio Bravo";"bench";"Keeper";25
"Vincent Kompany";"bench";"Centre-Back";25
"Nicolás Otamendi";"bench";"Centre-Back";25
"Fernando";"bench";"Defensive Midfield";25
"Fabian Delph";"bench";"Central Midfield";25
"Nolito";"bench";"Left Wing";25
"Sergio Agüero";"bench";"Centre-Forward";25
"Claudio Bravo";"starting";"Keeper";26
"Vincent Kompany";"starting";"Centre-Back";26
"Nicolás Otamendi";"starting";"Centre-Back";26
"Aleksandar Kolarov";"starting";"Left-Back";26
"Pablo Zabaleta";"starting";"Right-Back";26
"Fernandinho";"starting";"Defensive Midfield";26
"Yaya Touré";"starting";"Defensive Midfield";26
"Leroy Sané";"starting";"Left Wing";26
"Raheem Sterling";"starting";"Right Wing";26
"Kevin De Bruyne";"starting";"Secondary Striker";26
"Sergio Agüero";"starting";"Centre-Forward";26
"Willy Caballero";"bench";"Keeper";26
"Gaël Clichy";"bench";"Left-Back";26
"Bacary Sagna";"bench";"Right-Back";26
"Fernando";"bench";"Defensive Midfield";26
"Aleix García";"bench";"Defensive Midfield";26
"Jesús Navas";"bench";"Right Wing";26
"Gabriel Jesus";"bench";"Centre-Forward";26
"Willy Caballero";"starting";"Keeper";27
"John Stones";"starting";"Centre-Back";27
"Aleksandar Kolarov";"starting";"Centre-Back";27
"Gaël Clichy";"starting";"Left-Back";27
"Bacary Sagna";"starting";"Right-Back";27
