"player";"lineup";"post";"matchday"
"Branislav Ivanovic";"bench";"Right-Back";17
"Kurt Zouma";"bench";"Centre-Back";17
"Nathaniel Chalobah";"bench";"Defensive Midfield";17
"Cesc Fàbregas";"bench";"Attacking Midfield";17
"Pedro";"bench";"Right Wing";17
"Michy Batshuayi";"bench";"Centre-Forward";17
"Thibaut Courtois";"starting";"Keeper";18
"David Luiz";"starting";"Centre-Back";18
"Gary Cahill";"starting";"Centre-Back";18
"César Azpilicueta";"starting";"Centre-Back";18
"Nemanja Matic";"starting";"Defensive Midfield";18
"Cesc Fàbregas";"starting";"Defensive Midfield";18
"Victor Moses";"starting";"Right Midfield";18
"Marcos Alonso";"starting";"Left Midfield";18
"Pedro";"starting";"Attacking Midfield";18
"Willian";"starting";"Attacking Midfield";18
"Eden Hazard";"starting";"Centre-Forward";18
"Asmir Begovic";"bench";"Keeper";18
"Branislav Ivanovic";"bench";"Centre-Back";18
"Kurt Zouma";"bench";"Centre-Back";18
"Ola Aina";"bench";"Right-Back";18
"Nathaniel Chalobah";"bench";"Defensive Midfield";18
"Ruben Loftus-Cheek";"bench";"Central Midfield";18
"Michy Batshuayi";"bench";"Centre-Forward";18
"Thibaut Courtois";"starting";"Keeper";19
"David Luiz";"starting";"Centre-Back";19
"Gary Cahill";"starting";"Centre-Back";19
"César Azpilicueta";"starting";"Centre-Back";19
"N'Golo Kanté";"starting";"Defensive Midfield";19
"Cesc Fàbregas";"starting";"Defensive Midfield";19
"Victor Moses";"starting";"Right Midfield";19
"Marcos Alonso";"starting";"Left Midfield";19
"Eden Hazard";"starting";"Attacking Midfield";19
"Willian";"starting";"Attacking Midfield";19
"Diego Costa";"starting";"Centre-Forward";19
"Asmir Begovic";"bench";"Keeper";19
"Branislav Ivanovic";"bench";"Right-Back";19
"Kurt Zouma";"bench";"Centre-Back";19
"Nemanja Matic";"bench";"Defensive Midfield";19
"Nathaniel Chalobah";"bench";"Defensive Midfield";19
"Ruben Loftus-Cheek";"bench";"Central Midfield";19
"Michy Batshuayi";"bench";"Centre-Forward";19
"Thibaut Courtois";"starting";"Keeper";20
"David Luiz";"starting";"Centre-Back";20
"Gary Cahill";"starting";"Centre-Back";20
"César Azpilicueta";"starting";"Centre-Back";20
"Nemanja Matic";"starting";"Defensive Midfield";20
"N'Golo Kanté";"starting";"Defensive Midfield";20
"Victor Moses";"starting";"Right Midfield";20
"Marcos Alonso";"starting";"Left Midfield";20
"Eden Hazard";"starting";"Attacking Midfield";20
"Pedro";"starting";"Attacking Midfield";20
"Diego Costa";"starting";"Centre-Forward";20
"Asmir Begovic";"bench";"Keeper";20
"Branislav Ivanovic";"bench";"Centre-Back";20
"Kurt Zouma";"bench";"Centre-Back";20
"Nathaniel Chalobah";"bench";"Defensive Midfield";20
"Cesc Fàbregas";"bench";"Defensive Midfield";20
"Willian";"bench";"Right Midfield";20
"Michy Batshuayi";"bench";"Centre-Forward";20
"Thibaut Courtois";"starting";"Keeper";21
"David Luiz";"starting";"Centre-Back";21
"Gary Cahill";"starting";"Centre-Back";21
"César Azpilicueta";"starting";"Centre-Back";21
"Nemanja Matic";"starting";"Defensive Midfield";21
"N'Golo Kanté";"starting";"Defensive Midfield";21
"Victor Moses";"starting";"Right Midfield";21
"Marcos Alonso";"starting";"Left Midfield";21
"Pedro";"starting";"Attacking Midfield";21
"Willian";"starting";"Attacking Midfield";21
"Eden Hazard";"starting";"Centre-Forward";21
"Asmir Begovic";"bench";"Keeper";21
"Branislav Ivanovic";"bench";"Centre-Back";21
"Kurt Zouma";"bench";"Centre-Back";21
"Nathaniel Chalobah";"bench";"Defensive Midfield";21
"Cesc Fàbregas";"bench";"Attacking Midfield";21
"Ruben Loftus-Cheek";"bench";"Attacking Midfield";21
"Michy Batshuayi";"bench";"Centre-Forward";21
"Thibaut Courtois";"starting";"Keeper";22
"David Luiz";"starting";"Centre-Back";22
"Gary Cahill";"starting";"Centre-Back";22
"César Azpilicueta";"starting";"Centre-Back";22
"Nemanja Matic";"starting";"Defensive Midfield";22
"N'Golo Kanté";"starting";"Defensive Midfield";22
"Victor Moses";"starting";"Right Midfield";22
"Marcos Alonso";"starting";"Left Midfield";22
"Eden Hazard";"starting";"Attacking Midfield";22
"Pedro";"starting";"Attacking Midfield";22
"Diego Costa";"starting";"Centre-Forward";22
"Asmir Begovic";"bench";"Keeper";22
"Nathan Aké";"bench";"Centre-Back";22
"Kurt Zouma";"bench";"Centre-Back";22
"Nathaniel Chalobah";"bench";"Defensive Midfield";22
"Cesc Fàbregas";"bench";"Attacking Midfield";22
"Willian";"bench";"Attacking Midfield";22
"Michy Batshuayi";"bench";"Centre-Forward";22
"Thibaut Courtois";"starting";"Keeper";23
"David Luiz";"starting";"Centre-Back";23
"Gary Cahill";"starting";"Centre-Back";23
"César Azpilicueta";"starting";"Centre-Back";23
"Nemanja Matic";"starting";"Defensive Midfield";23
"N'Golo Kanté";"starting";"Defensive Midfield";23
"Victor Moses";"starting";"Right Midfield";23
"Marcos Alonso";"starting";"Left Midfield";23
"Eden Hazard";"starting";"Attacking Midfield";23
"Willian";"starting";"Attacking Midfield";23
"Diego Costa";"starting";"Centre-Forward";23
"Asmir Begovic";"bench";"Keeper";23
"Kurt Zouma";"bench";"Centre-Back";23
"John Terry";"bench";"Centre-Back";23
"Nathaniel Chalobah";"bench";"Defensive Midfield";23
"Cesc Fàbregas";"bench";"Attacking Midfield";23
"Pedro";"bench";"Attacking Midfield";23
"Michy Batshuayi";"bench";"Centre-Forward";23
"Thibaut Courtois";"starting";"Keeper";24
"David Luiz";"starting";"Centre-Back";24
"Gary Cahill";"starting";"Centre-Back";24
"César Azpilicueta";"starting";"Centre-Back";24
"Nemanja Matic";"starting";"Defensive Midfield";24
"N'Golo Kanté";"starting";"Defensive Midfield";24
"Victor Moses";"starting";"Right Midfield";24
"Marcos Alonso";"starting";"Left Midfield";24
"Eden Hazard";"starting";"Attacking Midfield";24
"Pedro";"starting";"Attacking Midfield";24
"Diego Costa";"starting";"Centre-Forward";24
"Asmir Begovic";"bench";"Keeper";24
"Kurt Zouma";"bench";"Centre-Back";24
"John Terry";"bench";"Centre-Back";24
"Nathaniel Chalobah";"bench";"Defensive Midfield";24
"Cesc Fàbregas";"bench";"Attacking Midfield";24
"Willian";"bench";"Attacking Midfield";24
"Michy Batshuayi";"bench";"Centre-Forward";24
"Thibaut Courtois";"starting";"Keeper";25
"David Luiz";"starting";"Centre-Back";25
"Gary Cahill";"starting";"Centre-Back";25
"César Azpilicueta";"starting";"Centre-Back";25
"Nemanja Matic";"starting";"Defensive Midfield";25
"N'Golo Kanté";"starting";"Defensive Midfield";25
"Victor Moses";"starting";"Right Midfield";25
"Marcos Alonso";"starting";"Left Midfield";25
"Eden Hazard";"starting";"Attacking Midfield";25
"Pedro";"starting";"Attacking Midfield";25
"Diego Costa";"starting";"Centre-Forward";25
"Asmir Begovic";"bench";"Keeper";25
"Nathan Aké";"bench";"Centre-Back";25
"Kurt Zouma";"bench";"Centre-Back";25
"Nathaniel Chalobah";"bench";"Defensive Midfield";25
"Cesc Fàbregas";"bench";"Defensive Midfield";25
"Willian";"bench";"Right Midfield";25
"Michy Batshuayi";"bench";"Centre-Forward";25
"Thibaut Courtois";"starting";"Keeper";26
"David Luiz";"starting";"Centre-Back";26
"Gary Cahill";"starting";"Centre-Back";26
"César Azpilicueta";"starting";"Centre-Back";26
"N'Golo Kanté";"starting";"Defensive Midfield";26
"Cesc Fàbregas";"starting";"Defensive Midfield";26
"Victor Moses";"starting";"Right Midfield";26
"Marcos Alonso";"starting";"Left Midfield";26
"Eden Hazard";"starting";"Attacking Midfield";26
"Pedro";"starting";"Attacking Midfield";26
"Diego Costa";"starting";"Centre-Forward";26
"Asmir Begovic";"bench";"Keeper";26
"Kurt Zouma";"bench";"Centre-Back";26
"John Terry";"bench";"Centre-Back";26
"Nemanja Matic";"bench";"Defensive Midfield";26
